subtype;description
Smaragdine;christalline high-tech spaceship with green highlights
Hyehoon;fast-looking, bird-like white spaceship with lilac and azure highlights
Gnome;bulky industrial spaceship with rugged design
Neshekk;luxurious art-deco spaceship exhuding comfort and wealth
Deva;light-blue spaceship with weird geometric shapes and dark-blue patterns on the hull
Vokun;hulking purple spaceship with golden highlights, heavily ornamentated, showing power and wealth
Scout;sleek and bristling with sensors
Transport;carrying hexagonal shipping containers
Destroyer;bristling with weapons
Shuttle;simple and minimalistic
