name;copies;deck
Alliance Outpost;1;seed
Smaragdine Conclave;1;seed
Deva Moon Restoration;1;seed
Mira's Nebula;1;seed
Derelict Station;1;seed
Ancient Relic;3;seed
Botanical Sample;3;seed
Hyehoon Glider;2;seed
Gnome Worker;3;main
Gnome Engineer;3;main
Hyehoon Scout;3;main
Hyehoon Medic;3;main
Hyehoon Negotiator;3;main
Hyehoon Naturalist;3;main
Hyehoon Pathfinder;3;main
Neshekk Broker;3;main
Deva Artificer;3;main
Alliance Shuttle;3;main
Zephyr;1;main
Gnome Hauler;2;main
Boreas;1;main
Pneuma;1;main
Medikit;3;main
Hyperspace Beacon;2;main
Emergency Repairs;3;main
Diplomatic Immunity;3;main
Rapid Deployment;1;main
