name;copies;deck
Vokun Outpost;1;seed
Grangian Civil War;1;seed
Vokun Staging Ground;1;seed
Mnaat Subjugation;1;seed
Hyperspace Rift;1;seed
Survey Drone;3;seed
Gnome Drill;2;seed
Ancient Relic;2;seed
Botanical Sample;1;seed
Vokun Conscript;4;main
Kuath Shock Trooper;4;main
Mnaat Technician;4;main
Voidglider Navigator;3;main
Ibglib Analyst;3;main
Kuath Sergeant;2;main
Vokun Lord;2;main
Mnaat Researcher;1;main
Ibglib Envoy;1;main
Voidglider Seer;1;main
Vokun Warlord;1;main
Vokun Grand Elder;1;main
Vokun Shuttle;3;main
Kadirga;3;main
Kalyon;2;main
Dromon;1;main
Dreadnought;1;main
Vokun Restraint Collar;2;main
Vokun Warblade;2;main
Mnaat Cybernetic Implants;1;main
Vokun Shock Cannon;1;main
Hyperspace Beacon;1;main
Ambush;2;main
Neural Deadlock;2;main
Pheromone Surge;1;main
Vokun War Drums;1;main
